freshTime,positive_prob,confidence,negative_prob,sentiment
2020/3/2,0.531846,0.363072,0.468154,1
2020/3/2,0.981082,0.957961,0.0189177,2
2020/3/2,0.33253,0.261044,0.66747,0
2020/3/2,0.0433189,0.903736,0.956681,0
2020/3/2,0.830126,0.622501,0.169875,2
2020/3/2,0.86342,0.696489,0.13658,2
2020/3/2,0.985473,0.967718,0.014527,2
2020/3/2,0.968637,0.930305,0.0313626,2
2020/3/2,0.639992,0.199982,0.360008,2
2020/3/2,0.142062,0.684308,0.857938,0
2020/3/2,0.998836,0.997414,0.00116377,2
2020/3/2,0.387531,0.138821,0.612469,0
2020/3/2,0.717747,0.37277,0.282253,2
2020/3/2,0.845303,0.656229,0.154697,2
2020/3/2,0.965125,0.922501,0.0348747,2
2020/3/2,0.998768,0.997262,0.00123218,2
2020/3/2,0.904327,0.787394,0.0956729,2
2020/3/2,0.489913,0.798252,0.510087,1
2020/3/2,0.930966,0.846591,0.0690341,2
2020/3/2,0.26585,0.409222,0.73415,0
2020/3/2,0.992366,0.983035,0.00763436,2
2020/3/6,0.999878,0.99973,0.00012156,2
2020/3/2,0.929572,0.843493,0.070428,2
2020/3/2,0.988326,0.974058,0.011674,2
2020/3/2,0.147784,0.671591,0.852216,0
2020/3/2,0.999871,0.999712,0.000129415,2
2020/3/2,0.817486,0.594414,0.182514,2
2020/3/2,0.114074,0.746503,0.885926,0
2020/3/2,0.970641,0.934759,0.0293586,2
2020/3/2,0.000334272,0.999257,0.999666,0
2020/3/2,0.858717,0.686038,0.141283,2
2020/3/2,0.000315128,0.9993,0.999685,0
2020/3/2,0.198351,0.55922,0.801649,0
2020/3/2,0.50419,0.916191,0.49581,1
2020/3/2,0.118021,0.737732,0.881979,0
2020/3/2,0.856238,0.680529,0.143762,2
2020/3/2,0.977409,0.949798,0.0225911,2
2020/3/2,0.268997,0.402228,0.731003,0
2020/3/2,0.860513,0.690029,0.139487,2
2020/3/2,0.758226,0.462725,0.241774,2
2020/3/2,0.648923,0.219829,0.351077,2
2020/3/2,0.95268,0.894844,0.0473204,2
2020/3/2,0.984244,0.964987,0.0157559,2
2020/3/2,0.119272,0.734951,0.880728,0
2020/3/2,0.945021,0.877824,0.0549794,2
2020/3/2,0.844584,0.65463,0.155416,2
2020/3/2,0.838115,0.640256,0.161885,2
2020/3/2,0.982905,0.962011,0.0170949,2
2020/3/2,0.913018,0.806707,0.0869818,2
2020/3/2,0.70562,0.345822,0.29438,2
2020/3/2,0.992453,0.983228,0.00754731,2
2020/3/2,0.883104,0.740232,0.116896,2
2020/3/2,0.953789,0.89731,0.0462105,2
2020/3/2,0.99009,0.977978,0.00991,2
2020/3/2,0.0481433,0.893015,0.951857,0
2020/3/2,0.986262,0.969471,0.0137382,2
2020/3/2,0.88059,0.734645,0.11941,2
2020/3/2,0.741212,0.424917,0.258788,2
2020/3/2,0.902743,0.783872,0.0972575,2
2020/3/2,0.960649,0.912554,0.0393505,2
2020/3/2,0.986124,0.969165,0.0138756,2
2020/3/2,0.938372,0.863049,0.061628,2
2020/3/2,0.998039,0.995642,0.00196119,2
2020/3/2,0.990684,0.979298,0.00931591,2
2020/3/2,0.901772,0.781715,0.098228,2
2020/3/2,0.941502,0.870005,0.0584976,2
2020/3/2,0.913611,0.808024,0.0863894,2
2020/3/2,0.938535,0.863411,0.0614649,2
2020/3/2,0.0713434,0.841459,0.928657,0
2020/3/2,0.63936,0.198577,0.36064,2
2020/3/2,0.993091,0.984648,0.00690859,2
2020/3/2,0.847755,0.661677,0.152245,2
2020/3/2,0.870008,0.711129,0.129992,2
2020/3/2,0.97542,0.945377,0.0245803,2
2020/3/2,0.352451,0.216776,0.647549,0
2020/3/2,0.997185,0.993743,0.00281541,2
2020/3/2,0.934862,0.85525,0.0651376,2
2020/3/2,0.0127983,0.971559,0.987202,0
2020/3/2,0.965506,0.923348,0.0344936,2
2020/3/2,0.58634,0.0807548,0.41366,2
2020/3/2,0.41408,0.0798212,0.58592,0
2020/3/2,0.999762,0.999471,0.000237939,2
2020/3/2,0.576381,0.0586242,0.423619,2
2020/3/2,0.998389,0.99642,0.00161085,2
2020/3/2,0.924459,0.832131,0.0755412,2
2020/3/2,0.804006,0.564457,0.195994,2
2020/3/2,0.228697,0.491785,0.771303,0
2020/3/2,0.607152,0.127005,0.392848,2
2020/3/2,0.987079,0.971286,0.0129211,2
2020/3/2,0.998937,0.997638,0.00106302,2
